word,J1,J2,J3,J4,J5,J6,J7,J8,J9,J10,J11,J12,非零平均排位,非零个数,综合评分,均值归一,个数归一,rate,0.7,,
student,0.450957212,0.377497716,0.216759739,0.521061322,0.082837859,0.388927119,0.437156421,0.41387595,0.485920552,0.439685508,0.3680785,0.278555464,0.371776114,12,1,1,1,0,,,
use,0.310224383,0.25384516,0.198379043,0.23621815,0.253068236,0.238955222,0.28736432,0.197253199,0.147334511,0.198143419,0.251370683,0.344305865,0.243038516,12,0.757009779,0.652871113,1,0,,,
learning,0.304357858,0.419779894,0.108297074,0.164109451,0.007116655,0.281947166,0.266866453,0.13400568,0.089250714,0.278365202,0.089775244,0.269364548,0.201102995,12,0.677857133,0.539795904,1,0,,,
study,0.241611549,0.249130241,0.075344294,0.096697488,0.219762293,0.251286245,0.291700407,0.237573492,0.161501291,0.23189794,0.08464523,0.193716236,0.194572226,12,0.665530407,0.522186296,1,0,,,
learn,0.191044656,0.247457205,0.054148537,0.101394223,0.012525312,0.194296924,0.158858465,0.083407665,0.0708339,0.149045935,0.067331433,0.139984726,0.122527415,12,0.529546944,0.327924205,1,0,,,
design,0.108020576,0.110268269,0.092897031,0.186488013,0.041276596,0.257618392,0.101306763,0.050202718,0.178855597,0.061371856,0.153259166,0.108170015,0.120811249,12,0.526307708,0.323296725,1,0,,,
teacher,0.138245933,0.104640785,0.015068859,0.02458879,0.019641967,0.136974332,0.158070085,0.271173736,0.027271051,0.060933485,0.011542531,0.415005222,0.115263065,12,0.515835595,0.308336564,1,0,,,
course,0.080856016,0.070723786,0.090247561,0.293407807,0.007970653,0.062988197,0.071348343,0.049412124,0.07047973,0.217870087,0.193658026,0.048782556,0.104812074,12,0.496109512,0.280156445,1,0,,,
result,0.128680946,0.118633448,0.061434579,0.098355159,0.136924434,0.108979578,0.130082614,0.120565582,0.104834172,0.084167116,0.094264006,0.059387459,0.103859091,12,0.494310772,0.277586817,1,0,,,
engineering,0.012576818,0.011005131,0.128127834,0.236987517,0,0.002722616,0.005520489,0.009226659,0.609669066,0.002046408,0.262679788,0,0.128056233,10,0.485437047,0.342832145,0.818181818,0,,,
technology,0.123707154,0.135363806,0.033118371,0.050282694,0.003131328,0.178299922,0.154522378,0.047435639,0.019479322,0.062248596,0.045528874,0.280676445,0.094482877,12,0.476613313,0.252304733,1,0,,,
research,0.087551506,0.095819324,0.017387145,0.041441781,0.065473222,0.142639937,0.080414707,0.191719041,0.155834579,0.105647266,0.037192601,0.105342041,0.093871929,12,0.475460158,0.250657368,1,0,,,
model,0.085702276,0.090039745,0.057791558,0.043652009,0.318541458,0.102647432,0.084356604,0.095266575,0.054542103,0.042960299,0.080156468,0.036056672,0.0909761,12,0.469994325,0.242849036,1,0,,,
system,0.098264291,0.134299147,0.162942386,0.174884314,0.007116655,0.080651553,0.072136722,0.020555444,0.019125153,0.020165038,0.24303441,0.016967846,0.087511913,12,0.463455727,0.233508181,1,0,,,
education,0.078815486,0.072701011,0.058785109,0.082607283,0.009109318,0.062988197,0.072530912,0.151003451,0.12006346,0.102578673,0.076950209,0.136449758,0.085381905,12,0.45943537,0.227764814,1,0,,,
online,0.099922222,0.089735557,0.082630336,0.019615776,0.000853999,0.076985574,0.137178029,0.011463613,0.006375051,0.323078982,0.004488762,0.072113343,0.07703677,12,0.443684057,0.205262938,1,0,,,
group,0.115927632,0.121371143,0.018380696,0.030666918,0.08056053,0.112312287,0.109584747,0.132424492,0.040375323,0.070577634,0.02565007,0.06150844,0.076611659,12,0.442881666,0.204116666,1,0,,,
based,0.096159994,0.116960412,0.061434579,0.089237968,0.026473955,0.122976955,0.09105783,0.059294549,0.031875255,0.04427541,0.105806538,0.067871382,0.076118735,12,0.44195128,0.202787543,1,0,,,
analysis,0.070653364,0.063879549,0.042060331,0.050835251,0.111589143,0.070320156,0.087115932,0.085779447,0.062688001,0.063125337,0.089775244,0.055852492,0.071139521,12,0.432553089,0.189361556,1,0,,,
test,0.073204027,0.058252065,0.032787187,0.040612945,0.247374912,0.040659048,0.073319291,0.124518552,0.032583594,0.021480149,0.05514765,0.014846865,0.067898857,12,0.426436387,0.18062341,1,0,,,
school,0.08691384,0.071788446,0.005961307,0.035087374,0.040137932,0.081651366,0.082385655,0.137168056,0.033646102,0.014904593,0.013466287,0.166850481,0.064163453,12,0.41938587,0.170551243,1,0,,,
paper,0.060259412,0.082587131,0.04818723,0.167977351,0.005408657,0.050323903,0.008672174,0.016207177,0.022666848,0.036823113,0.182115495,0.075648311,0.063073067,12,0.417327783,0.167611118,1,0,,,
